meter_id,timestamp,power_kw,power_factor
M08,2025-01-01 21:30:00,161.11,0.959
M07,2025-01-02 16:45:00,114.57,0.921
M02,2025-01-02 17:30:00,118.11,0.962
M03,2025-01-03 19:45:00,146.17,0.933
M07,2025-01-03 21:00:00,146.95,0.879
M03,2025-01-06 18:45:00,175.46,0.861
M08,2025-01-06 18:45:00,150.06,0.976
M07,2025-01-07 20:45:00,180.64,0.932
M08,2025-01-08 18:30:00,133.5,0.947
M03,2025-01-09 08:30:00,110.77,0.912
M07,2025-01-09 18:15:00,182.89,0.902
M04,2025-01-09 20:45:00,111.48,0.88
M05,2025-01-10 16:45:00,125.15,0.949
M01,2025-01-10 17:15:00,136.41,0.895
M08,2025-01-11 06:15:00,120.04,0.94
M02,2025-01-11 15:15:00,117.95,0.907
M01,2025-01-14 18:15:00,156.55,0.879
M03,2025-01-15 21:30:00,163.16,0.914
M03,2025-01-16 20:45:00,135.67,0.939
M04,2025-01-17 18:45:00,154.42,0.914
M10,2025-01-17 21:00:00,180.44,0.909
M06,2025-01-19 06:00:00,119.65,0.899
M01,2025-01-19 17:00:00,151.87,0.99
M09,2025-01-19 17:45:00,116.08,0.94
M06,2025-01-20 15:30:00,118.67,0.918
M08,2025-01-20 17:15:00,180.63,0.925
M08,2025-01-20 20:30:00,119.53,0.894
M05,2025-01-22 12:30:00,114.29,0.917
M01,2025-01-22 16:45:00,127.92,0.9
M07,2025-01-22 19:15:00,153.26,0.905
M04,2025-01-22 20:30:00,120.52,0.923
M07,2025-01-24 11:45:00,110.7,0.923
M09,2025-01-24 20:00:00,190.01,0.964
M04,2025-01-24 21:15:00,115.38,0.928
M07,2025-01-24 21:30:00,165.33,0.947
M10,2025-01-25 12:30:00,116.11,0.962
M06,2025-01-25 21:30:00,133.53,0.891
M02,2025-01-26 17:45:00,142.72,0.959
M03,2025-01-27 10:30:00,112.75,0.889
M08,2025-01-27 16:45:00,111.2,0.906
M08,2025-01-27 21:30:00,161.96,0.889
M03,2025-01-28 21:30:00,132.85,0.837
M04,2025-01-29 17:15:00,114.66,0.907
M09,2025-01-29 18:45:00,175.16,0.888
M09,2025-01-30 10:30:00,117.13,0.937
M01,2025-01-30 19:15:00,114.86,0.892
M04,2025-01-30 19:30:00,128.35,0.925
M02,2025-01-30 21:00:00,157.25,0.884
M10,2025-01-30 21:00:00,123.5,0.867
M06,2025-01-31 11:45:00,117.55,0.902
